Name,Set,Type,Numbered,Team
Patrick Roy,1988-89 Topps All-Star Stickers #12,Insert,,Canadiens
Pavel Bure,1991-92 Gillette Series #10,Base,,Canucks
Dominik Hasek,1991-92 Pro Set Platinum #252,Rookie,,Blackhawks
Ralph Macchio,1991-92 Pro Set Platinum #295,Base,,Islanders
Jeremy Roenick,1991-92 Score Hot Card #10,Insert,,Blackhawks
Brett Hull,1991-92 Score Hot Card #3,Insert,,Blues
Sergei Fedorov,1991-92 Score Hot Card #4,Insert,,Red Wings
Theoren Fleury,1991-92 Score Hot Card #7,Insert,,Flames
Wayne Gretzky,1991-92 Upper Deck Award Winners Hologram #AW1,Insert,,Kings
Wayne Gretzky,1991-92 Upper Deck Czech World Junior Tournament Trophy Winner Hologram,Insert,,Kings
Theoren Fleury,1992-93 Topps Gold #220,Parallel,,Flames
Sergei Fedorov,1992-93 Topps Gold #252,Parallel,,Red Wings
Luc Robitaille,1992-93 Topps Gold #266,Parallel,,Kings
Cam Neely,1992-93 Topps Gold #32,Parallel,,Bruins
Brett Hull,1992-93 Topps Gold #340,Parallel,,Blues
Mario Lemieux,1992-93 Ultra All-Star #4,Insert,,Penguins
Ray Bourque,1992-93 Ultra Award Winner #8,Insert,,Bruins
Jari Kurri,1992-93 Ultra Import #11,Insert,,Kings
Alexander Mogilny,1993-94 Donruss Elite Series #8,Insert,8668/10000,Sabres
Teemu Selanne,1993-94 Donruss Ice Kings #10,Insert,,Jets
Chris Chelios,1993-94 Donruss Ice Kings #5,Insert,,Blackhawks
Pavel Bure,1993-94 Donruss Ice Kings #8,Insert,,Canucks
Alexander Mogilny,1993-94 Donruss Special Print #C,Insert,"/20,000",Sabres
Theoren Fleury,1993-94 Donruss Special Print #D,Insert,"/20,000",Flames
Jeremy Roenick,1993-94 Donruss Special Print #E,Insert,"/20,000",Blackhawks
Mike Modano,1993-94 Donruss Special Print #F,Insert,"/20,000",Stars
Chris Pronger,1993-94 Donruss Special Print #J,Insert,"/20,000",Whalers
Scott Niedermayer,1993-94 Donruss Special Print #M,Insert,"/20,000",Devils
Pierre Turgeon,1993-94 Donruss Special Print #N,Insert,"/20,000",Islanders
Mark Messier,1993-94 Donruss Special Print #O,Insert,"/20,000",Rangers
Eric Lindros,1993-94 Donruss Special Print #Q,Insert,"/20,000",Flyers
